"","High","Low","Close","Rets","ATR","EWM_FAST","EWM_SLOW","MACD","signal","diffMACD","EMA_10","EMA_20","EMA_50","SMA_10","SMA_20","SMA_50","slopeClose","slopeMACD","ADX","RSI","Stoch","BinaryRets","BinaryRets_1","BinaryRets_2","label"
"X2004.12.13",1.927302,1.911498,1.923817,0.00550204098699109,0.0171230827261332,1.9174302796145,1.89458234385476,0.0228479357597413,0.0236464402582452,-0.000798504498503844,0.0233238568266118,0.0199877734969891,0.0127298583353859,0.024387231898193,0.0186967448471753,0.0105624660650625,0.00428417378902522,-0.0017234816658949,56.2269941249327,69.5461562234863,0.779486206023796,1,0,0,1
"X2004.12.14",1.92931,1.920307,1.927488,0.00190818565383297,0.0165430768171237,1.91897762121227,1.89701979986552,0.0219578213467517,0.0233087164759465,-0.00135089512919474,0.0230754867393645,0.0201753971017284,0.0130917392377924,0.0247234681817316,0.0192026907029156,0.0110252778742737,0.00324648859429265,-0.00149528927696484,54.4421258700036,70.3677554859768,0.797623014550708,1,1,0,1
"X2004.12.15",1.945601,1.919791,1.942502,0.00778941295613766,0.0172049999016149,1.92259675641038,1.90038885172733,0.0222079046830506,0.0230885541173673,-0.000880649434316729,0.0229177445473074,0.0203689692523305,0.0134492359219201,0.0247800422707521,0.0197117418354424,0.0115168520510145,0.00501395798298605,-0.00081908843973412,53.5536858666475,73.5148971946028,0.879930259589307,1,1,1,0
"X2004.12.16",1.954881,1.927191,1.931397,-0.00571685383078109,0.0179539284800709,1.92395064003955,1.90268575159938,0.0212648884401729,0.0227238209819284,-0.00145893254175548,0.0226172252551011,0.0204542948892679,0.0137557320991065,0.0246009645083522,0.0202174087702091,0.0120131074652585,0.00589123184415334,-0.000335884985344299,53.0917036470058,67.7807972605785,0.151895991332609,0,1,1,1
"X2004.12.17",1.943786,1.929682,1.942011,0.00549550403153774,0.0176789335886373,1.92672915695655,1.90559873296239,0.0211304239941559,0.0224051415843739,-0.00127471759021804,0.0223468977531111,0.0205186881373525,0.014044935702834,0.0241637398852941,0.0207099631063345,0.0125195021349339,0.00936972579545985,-0.000106046359201386,52.6627201573386,70.1752788335364,0.874149177538282,1,0,1,1
"X2004.12.20",1.950496,1.937496,1.947003,0.00257053126887546,0.0173447240465918,1.92984820973246,1.90866571570592,0.0211824940265453,0.0221606120728082,-0.000978118046262924,0.0221351879846446,0.020581907745847,0.0143248399508226,0.0236279400822111,0.0212076428499503,0.0130157657406918,0.0132386265397749,3.51486009817586e-05,52.5230960667213,71.2572248297349,0.731307692307693,1,1,0,0
"X2004.12.21",1.949014,1.925484,1.929012,-0.00924035556185588,0.0177865294718352,1.92971956208131,1.91017284787585,0.0195467142054653,0.0216378324993396,-0.00209111829387433,0.0216645563884302,0.0204833178848583,0.0145296193333576,0.0228104805204541,0.021595308257627,0.0134641679874743,0.0123795675564155,-0.000194012319928006,51.1384686550681,62.4626471751223,0.149936251593709,0,1,1,0
"X2004.12.22",1.930204,1.910512,1.914902,-0.00731462531078078,0.0179226345095613,1.92743993714573,1.9105231554406,0.0169167817051268,0.020693622340497,-0.00377684063537026,0.0208013246278295,0.0201436477725029,0.0146232335440153,0.0217331298037448,0.0217877012891957,0.0138595804829594,0.00768844850261246,-0.000545221635063179,48.5659432674665,56.5660884829185,0.2229331708308,0,0,1,1
"X2004.12.23",1.924483,1.914388,1.923891,0.00469423500523782,0.0173635177588783,1.92689394681562,1.9115133661487,0.0153805806669112,0.0196310140057799,-0.0042504333388687,0.0198157348167535,0.0196900223338751,0.0146529334311876,0.0206461031191008,0.0218181818547928,0.0142197765921519,0.00357498476987181,-0.00087501518532188,46.1771696932649,59.2080229719967,0.941357107478957,1,0,0,0
"X2004.12.24",1.929198,1.920307,1.921894,-0.00103800059358874,0.0167583379189585,1.9261247242286,1.91228230198954,0.0138424222390567,0.0184732956524352,-0.00463087341337851,0.018729677984445,0.0191331080391305,0.0146211486785551,0.0196277967066978,0.0217066389149639,0.0145390231552839,0.00219629646855475,-0.000946482295293773,44.2445313537643,58.3587439321721,0.178495107411991,0,1,0,1
